Town,County,Year,Total,Single,Multifamily,Duplex,TripQuad,QuintPlus
AUBURN,Androscoggin County,1980,40,40,0,0,0,0
AUBURN,Androscoggin County,1981,111,91,20,0,8,12
AUBURN,Androscoggin County,1982,44,20,24,0,0,24
AUBURN,Androscoggin County,1983,59,59,0,0,0,0
AUBURN,Androscoggin County,1984,87,45,42,6,0,36
AUBURN,Androscoggin County,1985,177,56,121,4,0,117
AUBURN,Androscoggin County,1986,204,88,116,8,3,105
AUBURN,Androscoggin County,1987,128,50,78,4,26,48
AUBURN,Androscoggin County,1988,264,78,186,6,0,180
AUBURN,Androscoggin County,1989,199,65,134,8,0,126
AUBURN,Androscoggin County,1990,33,27,6,6,0,0
AUBURN,Androscoggin County,1991,20,20,0,0,0,0
AUBURN,Androscoggin County,1992,45,19,26,0,0,26
AUBURN,Androscoggin County,1993,34,34,0,0,0,0
AUBURN,Androscoggin County,1994,40,38,2,2,0,0
AUBURN,Androscoggin County,1995,39,35,4,4,0,0
AUBURN,Androscoggin County,1996,21,21,0,0,0,0
AUBURN,Androscoggin County,1997,22,22,0,0,0,0
AUBURN,Androscoggin County,1998,22,22,0,0,0,0
AUBURN,Androscoggin County,1999,28,20,8,2,0,6
AUBURN,Androscoggin County,2000,35,26,9,0,9,0
AUBURN,Androscoggin County,2001,48,40,8,2,6,0
AUBURN,Androscoggin County,2002,55,40,15,12,3,0
AUBURN,Androscoggin County,2003,62,49,13,4,9,0
AUBURN,Androscoggin County,2004,71,69,2,2,0,0
AUBURN,Androscoggin County,2005,75,68,7,4,3,0
AUBURN,Androscoggin County,2006,65,59,6,6,0,0
AUBURN,Androscoggin County,2007,39,37,2,2,0,0
AUBURN,Androscoggin County,2008,34,24,10,10,0,0
AUBURN,Androscoggin County,2009,31,25,6,6,0,0
AUBURN,Androscoggin County,2010,35,25,10,10,0,0
AUBURN,Androscoggin County,2011,17,17,0,0,0,0
AUBURN,Androscoggin County,2012,18,16,2,2,0,0
AUBURN,Androscoggin County,2013,19,17,2,2,0,0
AUBURN,Androscoggin County,2014,23,23,0,0,0,0
AUBURN,Androscoggin County,2015,8,8,0,0,0,0
AUBURN,Androscoggin County,2016,33,25,8,2,0,6
AUBURN,Androscoggin County,2017,71,24,47,6,0,41
DURHAM TOWN,Androscoggin County,1980,26,26,0,0,0,0
DURHAM TOWN,Androscoggin County,1981,13,13,0,0,0,0
DURHAM TOWN,Androscoggin County,1982,23,21,2,2,0,0
DURHAM TOWN,Androscoggin County,1983,38,34,4,4,0,0
DURHAM TOWN,Androscoggin County,1984,79,73,6,6,0,0
DURHAM TOWN,Androscoggin County,1985,37,37,0,0,0,0
DURHAM TOWN,Androscoggin County,1986,54,52,2,2,0,0
DURHAM TOWN,Androscoggin County,1987,57,55,2,2,0,0
DURHAM TOWN,Androscoggin County,1988,57,53,4,4,0,0
DURHAM TOWN,Androscoggin County,1989,28,28,0,0,0,0
DURHAM TOWN,Androscoggin County,1990,15,15,0,0,0,0
DURHAM TOWN,Androscoggin County,1991,8,8,0,0,0,0
DURHAM TOWN,Androscoggin County,1992,20,20,0,0,0,0
DURHAM TOWN,Androscoggin County,1993,20,20,0,0,0,0
DURHAM TOWN,Androscoggin County,1994,33,33,0,0,0,0
DURHAM TOWN,Androscoggin County,1995,26,26,0,0,0,0
DURHAM TOWN,Androscoggin County,1996,63,63,0,0,0,0
DURHAM TOWN,Androscoggin County,1997,53,53,0,0,0,0
DURHAM TOWN,Androscoggin County,1998,58,58,0,0,0,0
DURHAM TOWN,Androscoggin County,1999,33,33,0,0,0,0
DURHAM TOWN,Androscoggin County,2000,31,31,0,0,0,0
DURHAM TOWN,Androscoggin County,2001,44,44,0,0,0,0
DURHAM TOWN,Androscoggin County,2002,49,49,0,0,0,0
DURHAM TOWN,Androscoggin County,2003,50,50,0,0,0,0
DURHAM TOWN,Androscoggin County,2004,52,52,0,0,0,0
DURHAM TOWN,Androscoggin County,2005,50,50,0,0,0,0
DURHAM TOWN,Androscoggin County,2006,29,29,0,0,0,0
DURHAM TOWN,Androscoggin County,2007,15,15,0,0,0,0
DURHAM TOWN,Androscoggin County,2008,14,14,0,0,0,0
DURHAM TOWN,Androscoggin County,2009,10,10,0,0,0,0
DURHAM TOWN,Androscoggin County,2010,14,14,0,0,0,0
DURHAM TOWN,Androscoggin County,2011,9,9,0,0,0,0
DURHAM TOWN,Androscoggin County,2012,9,9,0,0,0,0
DURHAM TOWN,Androscoggin County,2013,8,8,0,0,0,0
DURHAM TOWN,Androscoggin County,2014,10,10,0,0,0,0
DURHAM TOWN,Androscoggin County,2015,9,9,0,0,0,0
DURHAM TOWN,Androscoggin County,2016,10,10,0,0,0,0
DURHAM TOWN,Androscoggin County,2017,14,14,0,0,0,0
POLAND TOWN,Androscoggin County,1980,20,20,0,0,0,0
POLAND TOWN,Androscoggin County,1981,15,15,0,0,0,0
POLAND TOWN,Androscoggin County,1982,16,16,0,0,0,0
POLAND TOWN,Androscoggin County,1983,22,22,0,0,0,0
POLAND TOWN,Androscoggin County,1984,20,20,0,0,0,0
POLAND TOWN,Androscoggin County,1985,38,38,0,0,0,0
POLAND TOWN,Androscoggin County,1986,152,150,2,2,0,0
POLAND TOWN,Androscoggin County,1987,35,35,0,0,0,0
POLAND TOWN,Androscoggin County,1988,52,46,6,6,0,0
POLAND TOWN,Androscoggin County,1989,44,42,2,2,0,0
POLAND TOWN,Androscoggin County,1990,25,25,0,0,0,0
POLAND TOWN,Androscoggin County,1991,20,20,0,0,0,0
POLAND TOWN,Androscoggin County,1992,29,29,0,0,0,0
